question_id,subject,topic,question,difficulty,option_a,option_b,option_c,option_d,correct_answer,explanation
Q0206B,DBMS,Transactions,"In a practical problem involving Transactions, which principle should guide your solution?",Medium,atomicity means data is encrypted,atomicity permits partial commits,ACID atomicity means a transaction happens completely or not at all,atomicity removes concurrency,C,Acid atomicity means a transaction happens completely or not at all.
Q0206C,DBMS,Transactions,Which design decision is most consistent with the core principle of Transactions?,Hard,atomicity permits partial commits,atomicity removes concurrency,atomicity means data is encrypted,ACID atomicity means a transaction happens completely or not at all,D,Acid atomicity means a transaction happens completely or not at all.
Q0207A,DBMS,Indexing,Which statement best describes Indexing?,Easy,an index can speed up record lookup for selected attributes,an index always reduces write cost,an index stores no keys,an index makes table scans mandatory,A,An index can speed up record lookup for selected attributes.
Q0207B,DBMS,Indexing,"In a practical problem involving Indexing, which principle should guide your solution?",Medium,an index always reduces write cost,an index stores no keys,an index can speed up record lookup for selected attributes,an index makes table scans mandatory,C,An index can speed up record lookup for selected attributes.
Q0207C,DBMS,Indexing,Which design decision is most consistent with the core principle of Indexing?,Hard,an index stores no keys,an index makes table scans mandatory,an index always reduces write cost,an index can speed up record lookup for selected attributes,D,An index can speed up record lookup for selected attributes.
Q0208A,DBMS,ER Model,Which statement best describes ER Model?,Easy,an ER relationship represents an association between entities,an entity is a query result only,a relationship cannot have cardinality,an ER diagram contains no attributes,A,An er relationship represents an association between entities.
Q0208B,DBMS,ER Model,"In a practical problem involving ER Model, which principle should guide your solution?",Medium,an entity is a query result only,a relationship cannot have cardinality,an ER relationship represents an association between entities,an ER diagram contains no attributes,C,An er relationship represents an association between entities.
Q0208C,DBMS,ER Model,Which design decision is most consistent with the core principle of ER Model?,Hard,a relationship cannot have cardinality,an ER diagram contains no attributes,an entity is a query result only,an ER relationship represents an association between entities,D,An er relationship represents an association between entities.
Q0209A,DBMS,Relational Algebra,Which statement best describes Relational Algebra?,Easy,selection filters rows that satisfy a condition,selection combines two relations,selection renames every attribute,selection sorts a table,A,Selection filters rows that satisfy a condition.
Q0209B,DBMS,Relational Algebra,"In a practical problem involving Relational Algebra, which principle should guide your solution?",Medium,selection combines two relations,selection renames every attribute,selection filters rows that satisfy a condition,selection sorts a table,C,Selection filters rows that satisfy a condition.
Q0209C,DBMS,Relational Algebra,Which design decision is most consistent with the core principle of Relational Algebra?,Hard,selection renames every attribute,selection sorts a table,selection combines two relations,selection filters rows that satisfy a condition,D,Selection filters rows that satisfy a condition.
Q0210A,DBMS,Concurrency Control,Which statement best describes Concurrency Control?,Easy,two-phase locking controls concurrent transaction conflicts,2PL prevents all database reads,2PL makes transactions non-atomic,2PL never uses locks,A,Two-phase locking controls concurrent transaction conflicts.
Q0210B,DBMS,Concurrency Control,"In a practical problem involving Concurrency Control, which principle should guide your solution?",Medium,2PL prevents all database reads,2PL makes transactions non-atomic,two-phase locking controls concurrent transaction conflicts,2PL never uses locks,C,Two-phase locking controls concurrent transaction conflicts.
Q0210C,DBMS,Concurrency Control,Which design decision is most consistent with the core principle of Concurrency Control?,Hard,2PL makes transactions non-atomic,2PL never uses locks,2PL prevents all database reads,two-phase locking controls concurrent transaction conflicts,D,Two-phase locking controls concurrent transaction conflicts.
Q0301A,Operating Systems,Processes,Which statement best describes Processes?,Easy,a process is a program in execution,a process is only source code,processes never have state,a process cannot own resources,A,A process is a program in execution.
Q0301B,Operating Systems,Processes,"In a practical problem involving Processes, which principle should guide your solution?",Medium,a process is only source code,processes never have state,a process is a program in execution,a process cannot own resources,C,A process is a program in execution.
Q0301C,Operating Systems,Processes,Which design decision is most consistent with the core principle of Processes?,Hard,processes never have state,a process cannot own resources,a process is only source code,a process is a program in execution,D,A process is a program in execution.
Q0302A,Operating Systems,CPU Scheduling,Which statement best describes CPU Scheduling?,Easy,round-robin scheduling uses a time quantum,round-robin always runs one process forever,round-robin is non-preemptive,round-robin has no ready queue,A,Round-robin scheduling uses a time quantum.
Q0302B,Operating Systems,CPU Scheduling,"In a practical problem involving CPU Scheduling, which principle should guide your solution?",Medium,round-robin always runs one process forever,round-robin is non-preemptive,round-robin scheduling uses a time quantum,round-robin has no ready queue,C,Round-robin scheduling uses a time quantum.
Q0302C,Operating Systems,CPU Scheduling,Which design decision is most consistent with the core principle of CPU Scheduling?,Hard,round-robin is non-preemptive,round-robin has no ready queue,round-robin always runs one process forever,round-robin scheduling uses a time quantum,D,Round-robin scheduling uses a time quantum.
Q0303A,Operating Systems,Deadlocks,Which statement best describes Deadlocks?,Easy,deadlock requires circular wait among its necessary conditions,deadlock occurs only with one process,deadlock means every job is complete,deadlock cannot involve resources,A,Deadlock requires circular wait among its necessary conditions.
Q0303B,Operating Systems,Deadlocks,"In a practical problem involving Deadlocks, which principle should guide your solution?",Medium,deadlock occurs only with one process,deadlock means every job is complete,deadlock requires circular wait among its necessary conditions,deadlock cannot involve resources,C,Deadlock requires circular wait among its necessary conditions.
Q0303C,Operating Systems,Deadlocks,Which design decision is most consistent with the core principle of Deadlocks?,Hard,deadlock means every job is complete,deadlock cannot involve resources,deadlock occurs only with one process,deadlock requires circular wait among its necessary conditions,D,Deadlock requires circular wait among its necessary conditions.
Q0304A,Operating Systems,Memory Management,Which statement best describes Memory Management?,Easy,virtual memory lets a process use an address space beyond physical RAM,virtual memory eliminates secondary storage,virtual memory has no address translation,virtual memory is only CPU cache,A,Virtual memory lets a process use an address space beyond physical ram.
Q0304B,Operating Systems,Memory Management,"In a practical problem involving Memory Management, which principle should guide your solution?",Medium,virtual memory eliminates secondary storage,virtual memory has no address translation,virtual memory lets a process use an address space beyond physical RAM,virtual memory is only CPU cache,C,Virtual memory lets a process use an address space beyond physical ram.
Q0304C,Operating Systems,Memory Management,Which design decision is most consistent with the core principle of Memory Management?,Hard,virtual memory has no address translation,virtual memory is only CPU cache,virtual memory eliminates secondary storage,virtual memory lets a process use an address space beyond physical RAM,D,Virtual memory lets a process use an address space beyond physical ram.
Q0305A,Operating Systems,Paging,Which statement best describes Paging?,Easy,paging divides virtual memory into fixed-size pages,pages always have variable size,paging removes page tables,paging uses only contiguous allocation,A,Paging divides virtual memory into fixed-size pages.
Q0305B,Operating Systems,Paging,"In a practical problem involving Paging, which principle should guide your solution?",Medium,pages always have variable size,paging removes page tables,paging divides virtual memory into fixed-size pages,paging uses only contiguous allocation,C,Paging divides virtual memory into fixed-size pages.
Q0305C,Operating Systems,Paging,Which design decision is most consistent with the core principle of Paging?,Hard,paging removes page tables,paging uses only contiguous allocation,pages always have variable size,paging divides virtual memory into fixed-size pages,D,Paging divides virtual memory into fixed-size pages.
Q0306A,Operating Systems,Synchronization,Which statement best describes Synchronization?,Easy,a mutex provides mutual exclusion for a critical section,a mutex allows every thread simultaneously,a mutex schedules disks,a mutex replaces all locks with polling,A,A mutex provides mutual exclusion for a critical section.
Q0306B,Operating Systems,Synchronization,"In a practical problem involving Synchronization, which principle should guide your solution?",Medium,a mutex allows every thread simultaneously,a mutex schedules disks,a mutex provides mutual exclusion for a critical section,a mutex replaces all locks with polling,C,A mutex provides mutual exclusion for a critical section.
Q0306C,Operating Systems,Synchronization,Which design decision is most consistent with the core principle of Synchronization?,Hard,a mutex schedules disks,a mutex replaces all locks with polling,a mutex allows every thread simultaneously,a mutex provides mutual exclusion for a critical section,D,A mutex provides mutual exclusion for a critical section.
Q0307A,Operating Systems,File Systems,Which statement best describes File Systems?,Easy,a file system organizes files and directories on storage,a file system is a CPU scheduler,file systems cannot store metadata,a file name is the entire file system,A,A file system organizes files and directories on storage.
Q0307B,Operating Systems,File Systems,"In a practical problem involving File Systems, which principle should guide your solution?",Medium,a file system is a CPU scheduler,file systems cannot store metadata,a file system organizes files and directories on storage,a file name is the entire file system,C,A file system organizes files and directories on storage.
Q0307C,Operating Systems,File Systems,Which design decision is most consistent with the core principle of File Systems?,Hard,file systems cannot store metadata,a file name is the entire file system,a file system is a CPU scheduler,a file system organizes files and directories on storage,D,A file system organizes files and directories on storage.
Q0308A,Operating Systems,Threads,Which statement best describes Threads?,Easy,threads in one process share its address space,threads never share process resources,each thread is a separate computer,a thread cannot be scheduled,A,Threads in one process share its address space.
Q0308B,Operating Systems,Threads,"In a practical problem involving Threads, which principle should guide your solution?",Medium,threads never share process resources,each thread is a separate computer,threads in one process share its address space,a thread cannot be scheduled,C,Threads in one process share its address space.
Q0308C,Operating Systems,Threads,Which design decision is most consistent with the core principle of Threads?,Hard,each thread is a separate computer,a thread cannot be scheduled,threads never share process resources,threads in one process share its address space,D,Threads in one process share its address space.
Q0309A,Operating Systems,I/O Management,Which statement best describes I/O Management?,Easy,an interrupt lets a device notify the CPU about an event,an interrupt is a type of permanent storage,interrupts are only user programs,interrupts cannot be disabled,A,An interrupt lets a device notify the cpu about an event.
Q0309B,Operating Systems,I/O Management,"In a practical problem involving I/O Management, which principle should guide your solution?",Medium,an interrupt is a type of permanent storage,interrupts are only user programs,an interrupt lets a device notify the CPU about an event,interrupts cannot be disabled,C,An interrupt lets a device notify the cpu about an event.
Q0309C,Operating Systems,I/O Management,Which design decision is most consistent with the core principle of I/O Management?,Hard,interrupts are only user programs,interrupts cannot be disabled,an interrupt is a type of permanent storage,an interrupt lets a device notify the CPU about an event,D,An interrupt lets a device notify the cpu about an event.
Q0310A,Operating Systems,Security,Which statement best describes Security?,Easy,least privilege grants only permissions necessary for a task,least privilege grants administrator access by default,least privilege removes authentication,least privilege shares all accounts,A,Least privilege grants only permissions necessary for a task.
Q0310B,Operating Systems,Security,"In a practical problem involving Security, which principle should guide your solution?",Medium,least privilege grants administrator access by default,least privilege removes authentication,least privilege grants only permissions necessary for a task,least privilege shares all accounts,C,Least privilege grants only permissions necessary for a task.
Q0310C,Operating Systems,Security,Which design decision is most consistent with the core principle of Security?,Hard,least privilege removes authentication,least privilege shares all accounts,least privilege grants administrator access by default,least privilege grants only permissions necessary for a task,D,Least privilege grants only permissions necessary for a task.
Q0401A,Computer Networks,OSI,Which statement best describes OSI?,Easy,the OSI transport layer provides end-to-end transport services,the transport layer assigns MAC addresses,the transport layer is the physical cable,the transport layer is only for DNS,A,The osi transport layer provides end-to-end transport services.
Q0401B,Computer Networks,OSI,"In a practical problem involving OSI, which principle should guide your solution?",Medium,the transport layer assigns MAC addresses,the transport layer is the physical cable,the OSI transport layer provides end-to-end transport services,the transport layer is only for DNS,C,The osi transport layer provides end-to-end transport services.
Q0401C,Computer Networks,OSI,Which design decision is most consistent with the core principle of OSI?,Hard,the transport layer is the physical cable,the transport layer is only for DNS,the transport layer assigns MAC addresses,the OSI transport layer provides end-to-end transport services,D,The osi transport layer provides end-to-end transport services.
Q0402A,Computer Networks,TCP/IP,Which statement best describes TCP/IP?,Easy,the Internet Protocol routes packets between networks,IP guarantees delivery and ordering,IP is a physical connector,IP encrypts every payload by itself,A,The internet protocol routes packets between networks.
Q0402B,Computer Networks,TCP/IP,"In a practical problem involving TCP/IP, which principle should guide your solution?",Medium,IP guarantees delivery and ordering,IP is a physical connector,the Internet Protocol routes packets between networks,IP encrypts every payload by itself,C,The internet protocol routes packets between networks.
Q0402C,Computer Networks,TCP/IP,Which design decision is most consistent with the core principle of TCP/IP?,Hard,IP is a physical connector,IP encrypts every payload by itself,IP guarantees delivery and ordering,the Internet Protocol routes packets between networks,D,The internet protocol routes packets between networks.
Q0403A,Computer Networks,TCP,Which statement best describes TCP?,Easy,TCP provides reliable ordered byte-stream delivery,TCP is connectionless,TCP never retransmits data,TCP has no flow control,A,Tcp provides reliable ordered byte-stream delivery.
Q0403B,Computer Networks,TCP,"In a practical problem involving TCP, which principle should guide your solution?",Medium,TCP is connectionless,TCP never retransmits data,TCP provides reliable ordered byte-stream delivery,TCP has no flow control,C,Tcp provides reliable ordered byte-stream delivery.
Q0403C,Computer Networks,TCP,Which design decision is most consistent with the core principle of TCP?,Hard,TCP never retransmits data,TCP has no flow control,TCP is connectionless,TCP provides reliable ordered byte-stream delivery,D,Tcp provides reliable ordered byte-stream delivery.
Q0404A,Computer Networks,UDP,Which statement best describes UDP?,Easy,UDP is connectionless and has low protocol overhead,UDP guarantees in-order delivery,UDP requires a three-way handshake,UDP cannot carry application data,A,Udp is connectionless and has low protocol overhead.
Q0404B,Computer Networks,UDP,"In a practical problem involving UDP, which principle should guide your solution?",Medium,UDP guarantees in-order delivery,UDP requires a three-way handshake,UDP is connectionless and has low protocol overhead,UDP cannot carry application data,C,Udp is connectionless and has low protocol overhead.
Q0404C,Computer Networks,UDP,Which design decision is most consistent with the core principle of UDP?,Hard,UDP requires a three-way handshake,UDP cannot carry application data,UDP guarantees in-order delivery,UDP is connectionless and has low protocol overhead,D,Udp is connectionless and has low protocol overhead.
Q0405A,Computer Networks,DNS,Which statement best describes DNS?,Easy,DNS maps domain names to IP addresses,DNS assigns MAC addresses,DNS transfers web pages,DNS is a routing protocol,A,Dns maps domain names to ip addresses.
Q0405B,Computer Networks,DNS,"In a practical problem involving DNS, which principle should guide your solution?",Medium,DNS assigns MAC addresses,DNS transfers web pages,DNS maps domain names to IP addresses,DNS is a routing protocol,C,Dns maps domain names to ip addresses.
Q0405C,Computer Networks,DNS,Which design decision is most consistent with the core principle of DNS?,Hard,DNS transfers web pages,DNS is a routing protocol,DNS assigns MAC addresses,DNS maps domain names to IP addresses,D,Dns maps domain names to ip addresses.
Q0406A,Computer Networks,HTTP,Which statement best describes HTTP?,Easy,HTTP is an application-layer protocol for web communication,HTTP assigns IP addresses,HTTP is a physical layer standard,HTTP only works without servers,A,Http is an application-layer protocol for web communication.
Q0406B,Computer Networks,HTTP,"In a practical problem involving HTTP, which principle should guide your solution?",Medium,HTTP assigns IP addresses,HTTP is a physical layer standard,HTTP is an application-layer protocol for web communication,HTTP only works without servers,C,Http is an application-layer protocol for web communication.
Q0406C,Computer Networks,HTTP,Which design decision is most consistent with the core principle of HTTP?,Hard,HTTP is a physical layer standard,HTTP only works without servers,HTTP assigns IP addresses,HTTP is an application-layer protocol for web communication,D,Http is an application-layer protocol for web communication.
Q0407A,Computer Networks,DHCP,Which statement best describes DHCP?,Easy,DHCP dynamically assigns network configuration such as IP addresses,DHCP resolves domain names,DHCP encrypts TCP streams,DHCP is a file system,A,Dhcp dynamically assigns network configuration such as ip addresses.
Q0407B,Computer Networks,DHCP,"In a practical problem involving DHCP, which principle should guide your solution?",Medium,DHCP resolves domain names,DHCP encrypts TCP streams,DHCP dynamically assigns network configuration such as IP addresses,DHCP is a file system,C,Dhcp dynamically assigns network configuration such as ip addresses.
Q0407C,Computer Networks,DHCP,Which design decision is most consistent with the core principle of DHCP?,Hard,DHCP encrypts TCP streams,DHCP is a file system,DHCP resolves domain names,DHCP dynamically assigns network configuration such as IP addresses,D,Dhcp dynamically assigns network configuration such as ip addresses.
Q0408A,Computer Networks,IP Addressing,Which statement best describes IP Addressing?,Easy,a subnet mask identifies network and host portions of an IPv4 address,a subnet mask is a transport port,a subnet mask is a DNS record,a subnet mask is a MAC address,A,A subnet mask identifies network and host portions of an ipv4 address.
Q0408B,Computer Networks,IP Addressing,"In a practical problem involving IP Addressing, which principle should guide your solution?",Medium,a subnet mask is a transport port,a subnet mask is a DNS record,a subnet mask identifies network and host portions of an IPv4 address,a subnet mask is a MAC address,C,A subnet mask identifies network and host portions of an ipv4 address.
Q0408C,Computer Networks,IP Addressing,Which design decision is most consistent with the core principle of IP Addressing?,Hard,a subnet mask is a DNS record,a subnet mask is a MAC address,a subnet mask is a transport port,a subnet mask identifies network and host portions of an IPv4 address,D,A subnet mask identifies network and host portions of an ipv4 address.
Q0409A,Computer Networks,Routing,Which statement best describes Routing?,Easy,a router forwards packets using routing-table information,a router only switches within one Ethernet frame,a router has no network-layer role,a router cannot connect networks,A,A router forwards packets using routing-table information.
Q0409B,Computer Networks,Routing,"In a practical problem involving Routing, which principle should guide your solution?",Medium,a router only switches within one Ethernet frame,a router has no network-layer role,a router forwards packets using routing-table information,a router cannot connect networks,C,A router forwards packets using routing-table information.
Q0409C,Computer Networks,Routing,Which design decision is most consistent with the core principle of Routing?,Hard,a router has no network-layer role,a router cannot connect networks,a router only switches within one Ethernet frame,a router forwards packets using routing-table information,D,A router forwards packets using routing-table information.
Q0410A,Computer Networks,Network Security,Which statement best describes Network Security?,Easy,a firewall filters network traffic according to policy,a firewall replaces all authentication,a firewall is an IP address,a firewall stores web pages,A,A firewall filters network traffic according to policy.
Q0410B,Computer Networks,Network Security,"In a practical problem involving Network Security, which principle should guide your solution?",Medium,a firewall replaces all authentication,a firewall is an IP address,a firewall filters network traffic according to policy,a firewall stores web pages,C,A firewall filters network traffic according to policy.
Q0410C,Computer Networks,Network Security,Which design decision is most consistent with the core principle of Network Security?,Hard,a firewall is an IP address,a firewall stores web pages,a firewall replaces all authentication,a firewall filters network traffic according to policy,D,A firewall filters network traffic according to policy.
Q0501A,Software Engineering,SDLC,Which statement best describes SDLC?,Easy,the SDLC describes phases used to develop and maintain software,the SDLC is only the coding phase,the SDLC has no testing,the SDLC applies only after deployment,A,The sdlc describes phases used to develop and maintain software.
Q0501B,Software Engineering,SDLC,"In a practical problem involving SDLC, which principle should guide your solution?",Medium,the SDLC is only the coding phase,the SDLC has no testing,the SDLC describes phases used to develop and maintain software,the SDLC applies only after deployment,C,The sdlc describes phases used to develop and maintain software.
Q0501C,Software Engineering,SDLC,Which design decision is most consistent with the core principle of SDLC?,Hard,the SDLC has no testing,the SDLC applies only after deployment,the SDLC is only the coding phase,the SDLC describes phases used to develop and maintain software,D,The sdlc describes phases used to develop and maintain software.
